col_index,team1_name,team1_spread,team2_name,team2_spread
0,Illinois,-10.5,Purdue,10.5
1,Pittsburgh,-6.5,Boston College,6.5
2,Georgia,-20.5,Kentucky,20.5
3,Navy,-10.5,Air Force,10.5
4,Wisconsin,16.5,Michigan,-16.5
5,Maryland,5.5,Washington,-5.5
6,Virginia,6.5,Louisville,-6.5
7,Texas,-7.5,Florida,7.5
8,UCLA,25.5,Penn State,-25.5
9,Alabama,-10.5,Vanderbilt,10.5
10,Nebraska,-10.5,Michigan State,10.5
11,Texas Tech,-12.5,Houston,12.5
12,Miami,-4.5,Florida State,4.5
13,Ohio State,-23.5,Minnesota,23.5
14,Texas A&M,-14.5,Mississippi State,14.5
