col_index,team1_name,team1_spread,team2_name,team2_spread
0,Texas,-35.5,San José State,35.5
1,Penn State,-41.5,Florida International,41.5
2,Indiana,-34.5,Kennesaw State,34.5
3,Iowa State,-2.5,Iowa,2.5
4,Illinois,-2.5,Duke,2.5
5,Utah State,28.5,Texas A&M,-28.5
6,Ole Miss,-9.5,Kentucky,9.5
7,Troy,32.5,Clemson,-32.5
8,Delaware,24.5,Colorado,-24.5
9,Oregon,-27.5,Oklahoma State,27.5
10,Florida,-17.5,South Florida,17.5
11,Army,17.5,Kansas State,-17.5
12,Boston College,4.5,Michigan State,-4.5
13,Oklahoma,-2.5,Michigan,2.5
14,Mississippi State,6.5,Arizona State,-6.5
