col_index,team1_name,team1_spread,team2_name,team2_spread
0,Georgia,-8.5,Mississippi State,8.5
1,Indiana,-13.5,Penn State,13.5
2,Texas Tech,-10.5,BYU,10.5
3,Ohio State,-28.5,Purdue,28.5
4,Rutgers,-1.5,Maryland,1.5
5,Oregon,-6.5,Iowa,6.5
6,Texas A&M,-6.5,Missouri,6.5
7,Auburn,7.5,Vanderbilt,-7.5
8,Wisconsin,11.5,Washington,-11.5
9,Wake Forest,6.5,Virginia,-6.5
10,Clemson,-2.5,Florida State,2.5
11,Kentucky,3.5,Florida,-3.5
12,Alabama,-10.5,LSU,10.5
13,Notre Dame,-24.5,Navy,24.5
14,Nebraska,2.5,UCLA,-2.5
