col_index,team1_name,team1_spread,team2_name,team2_spread
0,Indiana,-24.5,UCLA,24.5
1,Oklahoma,-4.5,Ole Miss,4.5
2,Nebraska,-7.5,Northwestern,7.5
3,South Florida,-3.5,Memphis,3.5
4,Virginia,-9.5,North Carolina,9.5
5,Rutgers,-2.5,Purdue,2.5
6,Washington,-5.5,Illinois,5.5
7,Alabama,-13.5,South Carolina,13.5
8,Iowa,-7.5,Minnesota,7.5
9,Vanderbilt,-3.5,Missouri,3.5
10,Texas,-6.5,Mississippi State,6.5
11,Oregon,-34.5,Wisconsin,34.5
12,Texas A&M,-2.5,LSU,2.5
13,Michigan,-13.5,Michigan State,13.5
14,Tennessee,-9.5,Kentucky,9.5
