col_index,team1_name,team1_spread,team2_name,team2_spread
0,Oklahoma,-22.5,Temple,22.5
1,Oregon,-27.5,Northwestern,27.5
2,Michigan,-27.5,Central Michigan,27.5
3,Wisconsin,20.5,Alabama,-20.5
4,Tennessee,3.5,Georgia,-3.5
5,Pittsburgh,-6.5,West Virginia,6.5
6,Purdue,21.5,USC,-21.5
7,Ole Miss,-8.5,Arkansas,8.5
8,Ohio,31.5,Ohio State,-31.5
9,Illinois,-27.5,,
10,LSU,-5.5,Florida,5.5
11,Iowa,-35.5,Massachusetts,35.5
12,Texas A&M,6.5,Notre Dame,-6.5
13,Minnesota,-2.5,California,2.5
14,Stanford,11.5,Boston College,-11.5
