col_index,team1_name,team1_spread,team2_name,team2_spread
0,Michigan,-5.5,Washington,5.5
1,LSU,2.5,Vanderbilt,-2.5
2,Oklahoma,-4.5,South Carolina,4.5
3,Northwestern,-3.5,Purdue,3.5
4,Georgia,-6.5,Ole Miss,6.5
5,Wisconsin,26.5,Ohio State,-26.5
6,Michigan State,26.5,Indiana,-26.5
7,Arizona State,12.5,Texas Tech,-12.5
8,Oregon,-16.5,Rutgers,16.5
9,Washington State,16.5,Virginia,-16.5
10,UCLA,-3.5,Maryland,3.5
11,Penn State,2.5,Iowa,-2.5
12,Texas,-12.5,Kentucky,12.5
13,Notre Dame,-7.5,USC,7.5
14,Alabama,-7.5,Tennessee,7.5
