col_index,team1_name,team1_spread,team2_name,team2_spread
0,Texas Tech,3.5,Utah,-3.5
1,Syracuse,17.5,Clemson,-17.5
2,Memphis,6.5,Arkansas,-6.5
3,Maryland,8.5,Wisconsin,-8.5
4,Oregon,-34.5,Oregon State,34.5
5,Nebraska,3.5,Michigan,-3.5
6,Notre Dame,-26.5,Purdue,26.5
7,Oklahoma,-5.5,Auburn,5.5
8,Missouri,-13.5,South Carolina,13.5
9,Baylor,-2.5,Arizona State,2.5
10,Washington,-20.5,Washington State,20.5
11,Indiana,-4.5,Illinois,4.5
12,Miami,-2.5,Florida,2.5
13,Virginia,-14.5,Stanford,14.5
14,USC,-15.5,Michigan State,15.5
