col_index,team1_name,team1_spread,team2_name,team2_spread
0,Pittsburgh,9.5,Florida State,-9.5
1,Ohio State,-14.5,Illinois,14.5
2,Alabama,-3.5,Missouri,3.5
3,Michigan State,-7.5,UCLA,7.5
4,Northwestern,21.5,Penn State,-21.5
5,Texas,-2.5,Oklahoma,2.5
6,Maryland,6.5,Nebraska,-6.5
7,Oregon,-7.5,Indiana,7.5
8,Notre Dame,-21.5,NC State,21.5
9,Florida,8.5,Texas A&M,-8.5
10,Iowa,-3.5,Wisconsin,3.5
11,Georgia,-3.5,Auburn,3.5
12,USC,-1.5,Michigan,1.5
13,Purdue,9.5,Minnesota,-9.5
14,Utah,-4.5,Arizona State,4.5
